crop,health_status,n,p,k,ph,soil_moisture
Maize,Potassium Toxicity,82.33,55.05,77.14,5.79,53.22
Sugarcane,pH Stress,59.55,63.65,49.21,6.18,50.77
Sugarcane,Phosphorus Deficiency,45.67,56.74,89.01,5.81,32.1
Sugarcane,Potassium Toxicity,63.57,42.36,66.58,6.41,43.67
Rice,Potassium Toxicity,57.9,69.86,48.69,4.15,51.25
Wheat,pH Stress,61.3,47.79,69.23,6.93,64.09
Rice,Optimal Health,70.46,76.55,45.9,7.84,49.9
Rice,Phosphorus Deficiency,85.43,50.6,89.9,4.92,40.22
Sugarcane,Potassium Toxicity,88.67,85.78,81.69,5.13,31.92
Rice,pH Stress,46.03,79.1,68.32,4.12,62.35
Wheat,Phosphorus Deficiency,72.2,74.96,48.49,6.32,42.28
Sugarcane,Nitrogen Deficiency,48.26,49.14,53.16,6.15,57.46
Wheat,Optimal Health,57.83,70.84,62.26,4.6,63.14
Cotton,Potassium Toxicity,84.68,76.89,61.4,5.8,61.05
Cotton,Optimal Health,55.49,79.29,55.21,4.72,39.74
Rice,Nitrogen Deficiency,70.85,69.8,72.95,7.2,30.74
Rice,Optimal Health,80.34,48.39,42.89,5.35,63.46
Cotton,pH Stress,40.36,47.39,80.01,5.4,31.15
Wheat,pH Stress,75.04,43.48,78.54,5.84,67.05
Sugarcane,Optimal Health,86.55,77.04,55.5,4.23,47.02
Wheat,Optimal Health,69.78,87.12,42.53,5.47,36.64
Maize,Phosphorus Deficiency,52.7,42.25,84.5,5.67,42.97
Maize,Nitrogen Deficiency,45.17,83.28,69.84,4.66,56.24
Maize,Potassium Toxicity,55.85,45.01,89.41,7.91,61.91
Maize,Phosphorus Deficiency,85.94,52.31,87.45,7.03,55.49
Rice,Phosphorus Deficiency,45.13,59.56,62.0,4.5,59.1
Sugarcane,Potassium Toxicity,53.29,41.38,60.42,7.02,44.36
Rice,Optimal Health,64.67,86.06,88.42,6.22,65.61
Maize,Nitrogen Deficiency,83.12,49.92,46.33,6.46,41.9
Rice,Phosphorus Deficiency,75.65,52.27,68.71,4.71,55.95
Cotton,Optimal Health,77.9,60.89,45.99,6.61,31.03
Rice,Phosphorus Deficiency,69.43,56.05,52.64,7.25,61.7
Wheat,Potassium Toxicity,81.36,46.65,52.89,5.18,59.36
Maize,Phosphorus Deficiency,72.04,87.84,54.99,6.18,56.79
Rice,Potassium Toxicity,68.72,74.85,57.57,6.74,30.83
Maize,Nitrogen Deficiency,52.26,41.65,74.9,5.86,40.15
Rice,Phosphorus Deficiency,42.83,61.87,80.31,5.35,49.34
Wheat,pH Stress,50.47,60.62,45.53,7.15,50.93
Wheat,Nitrogen Deficiency,82.47,76.98,40.02,6.89,38.56
Cotton,Phosphorus Deficiency,64.04,73.96,69.64,7.42,43.91
Wheat,Potassium Toxicity,50.49,44.31,43.28,5.77,37.57
Sugarcane,pH Stress,67.03,64.33,77.58,5.85,63.42
Wheat,Optimal Health,61.0,85.46,61.96,6.15,34.68
Rice,Potassium Toxicity,86.23,40.65,89.43,4.27,58.75
Cotton,Potassium Toxicity,46.73,48.1,88.19,6.09,68.11
Sugarcane,pH Stress,70.08,68.06,45.11,7.52,32.37
Rice,Nitrogen Deficiency,55.24,59.74,44.64,4.08,58.05
Wheat,Nitrogen Deficiency,77.32,62.81,57.16,5.25,59.17
Maize,Phosphorus Deficiency,45.54,45.57,67.83,5.09,62.74
Wheat,Nitrogen Deficiency,71.84,65.89,77.75,6.06,48.48
Maize,Potassium Toxicity,65.98,88.65,66.36,6.99,37.12
Rice,Optimal Health,52.04,68.02,78.46,4.16,64.32
Sugarcane,Phosphorus Deficiency,74.14,59.2,61.79,5.86,62.86
Maize,Phosphorus Deficiency,42.26,85.23,53.42,6.1,33.18
Maize,pH Stress,86.77,50.81,74.4,6.15,32.23
Wheat,Optimal Health,68.88,61.12,78.55,5.69,30.23
Maize,Potassium Toxicity,72.61,53.94,80.95,4.5,69.37
Rice,Optimal Health,66.57,83.88,84.67,4.45,63.32
Rice,Optimal Health,73.67,51.17,60.39,5.47,34.41
Rice,Optimal Health,87.46,42.06,83.29,6.63,47.39
Rice,Optimal Health,75.52,58.55,66.78,5.01,46.03
Cotton,Optimal Health,66.53,47.42,88.64,5.81,41.28
Cotton,Phosphorus Deficiency,77.45,60.71,62.75,6.66,53.2
Cotton,Nitrogen Deficiency,43.12,62.41,43.05,4.1,38.63
Rice,Potassium Toxicity,52.88,68.36,51.49,4.34,56.32
Rice,Nitrogen Deficiency,47.63,59.27,53.44,6.38,67.66
Cotton,Nitrogen Deficiency,77.56,71.65,48.16,6.79,58.42
Wheat,Nitrogen Deficiency,45.51,75.12,88.94,7.28,63.46
Rice,Phosphorus Deficiency,80.69,41.2,44.84,7.61,53.03
Wheat,Phosphorus Deficiency,79.77,54.13,87.37,4.4,47.48
Rice,Phosphorus Deficiency,59.18,47.95,86.75,5.9,36.82
Maize,Phosphorus Deficiency,60.76,86.12,62.78,4.13,52.8
Sugarcane,Nitrogen Deficiency,65.97,83.17,44.03,6.13,58.7
Cotton,Phosphorus Deficiency,50.98,41.21,73.85,4.95,35.86
Sugarcane,Optimal Health,45.9,81.76,67.61,4.75,43.6
Cotton,Potassium Toxicity,49.78,72.47,69.27,7.06,62.98
Maize,Nitrogen Deficiency,52.41,53.19,87.09,5.89,55.45
Cotton,Potassium Toxicity,49.17,84.86,41.8,6.22,47.84
Cotton,Optimal Health,47.28,52.52,53.99,7.74,63.46
Maize,Potassium Toxicity,80.21,62.36,88.96,7.52,65.94
Wheat,Optimal Health,51.02,56.64,45.3,6.28,58.49
Cotton,pH Stress,80.35,47.59,43.22,4.47,34.73
Wheat,Nitrogen Deficiency,44.07,71.96,60.68,5.49,65.86
Cotton,Phosphorus Deficiency,81.23,62.56,77.26,5.49,38.17
Maize,Phosphorus Deficiency,68.05,42.03,55.03,6.32,62.69
Maize,Nitrogen Deficiency,78.78,58.47,55.89,5.0,46.37
Rice,pH Stress,70.51,87.17,55.98,4.19,38.04
Cotton,Optimal Health,82.45,60.3,53.71,5.99,42.76
Cotton,Potassium Toxicity,71.89,63.76,55.22,7.25,58.44
Maize,Potassium Toxicity,64.92,62.52,53.46,5.31,48.78
Maize,Nitrogen Deficiency,87.44,59.63,40.26,6.39,56.8
Sugarcane,Potassium Toxicity,47.72,85.18,56.26,7.33,58.56
Rice,Nitrogen Deficiency,46.1,69.47,56.93,4.36,49.85
Maize,Potassium Toxicity,81.68,43.01,85.06,5.96,65.48
Rice,Phosphorus Deficiency,60.98,47.33,43.62,7.72,69.76
Maize,pH Stress,85.75,42.41,52.08,4.63,47.89
Wheat,pH Stress,65.98,80.88,56.26,5.61,56.74
Wheat,Optimal Health,61.14,86.24,61.08,5.35,55.42
Cotton,Phosphorus Deficiency,81.46,48.51,65.0,6.94,65.62
Cotton,Optimal Health,43.27,65.22,57.39,7.97,59.01
Wheat,Phosphorus Deficiency,73.53,89.76,56.44,7.01,43.17
Rice,Phosphorus Deficiency,56.68,55.52,64.88,6.42,46.7
Wheat,Phosphorus Deficiency,51.73,42.87,61.7,6.06,30.64
Wheat,Optimal Health,46.59,52.25,84.28,5.91,69.01
Rice,Nitrogen Deficiency,82.37,68.09,44.91,4.7,47.64
Wheat,Potassium Toxicity,74.97,75.6,79.85,5.06,47.17
Maize,Nitrogen Deficiency,60.23,66.65,49.41,7.09,46.2
Rice,pH Stress,60.65,57.37,52.04,7.79,52.23
Cotton,pH Stress,79.64,78.86,86.18,5.14,56.42
Wheat,Optimal Health,78.71,48.07,49.26,6.27,48.52
Wheat,Phosphorus Deficiency,68.52,71.97,81.51,4.91,30.56
Rice,pH Stress,41.18,42.56,47.76,5.89,56.36
Wheat,Nitrogen Deficiency,52.92,73.6,54.89,4.7,45.5
Cotton,Nitrogen Deficiency,76.65,70.55,48.54,6.18,61.98
Maize,Nitrogen Deficiency,56.11,70.25,56.55,7.15,47.99
Wheat,Nitrogen Deficiency,78.36,55.93,45.69,6.01,35.54
Cotton,Optimal Health,57.94,50.33,88.94,5.05,48.69
Rice,Potassium Toxicity,85.9,87.26,78.52,4.78,65.12
Sugarcane,Potassium Toxicity,62.21,66.89,86.39,5.78,47.05
Rice,pH Stress,46.35,73.81,69.83,4.69,54.58
Cotton,pH Stress,73.54,76.8,84.92,7.94,68.55
Maize,Optimal Health,84.78,61.06,77.82,5.14,59.37
Cotton,Potassium Toxicity,45.92,69.32,76.49,6.16,59.2
Rice,Nitrogen Deficiency,46.59,61.11,74.74,7.81,30.77
Cotton,Potassium Toxicity,58.1,54.97,79.76,4.38,54.87
Sugarcane,pH Stress,67.43,82.92,81.53,5.79,55.53
Cotton,Phosphorus Deficiency,63.76,45.32,65.33,6.69,46.36
Rice,Phosphorus Deficiency,68.83,46.76,65.8,7.29,34.2
Rice,Phosphorus Deficiency,53.74,64.2,86.9,4.14,55.45
Sugarcane,Phosphorus Deficiency,71.92,87.52,52.05,5.3,66.59
Maize,Nitrogen Deficiency,45.74,64.95,87.71,7.13,47.27
Cotton,pH Stress,79.96,72.31,45.98,6.84,31.41
Cotton,Potassium Toxicity,58.43,48.91,43.99,5.69,60.68
Maize,Phosphorus Deficiency,88.81,40.61,65.91,5.55,58.29
Maize,pH Stress,64.78,44.75,45.39,4.28,36.06
Rice,Phosphorus Deficiency,69.98,44.82,84.52,7.36,30.73
Rice,Phosphorus Deficiency,56.78,55.54,89.31,5.8,41.08
Maize,Optimal Health,68.44,64.69,80.99,7.8,46.86
Wheat,pH Stress,80.8,80.93,41.49,5.98,43.72
Sugarcane,Potassium Toxicity,54.91,76.7,81.85,6.56,55.72
Maize,Optimal Health,52.03,66.85,41.56,6.31,51.54
Cotton,Optimal Health,78.24,48.73,43.87,7.0,47.46
Sugarcane,pH Stress,80.36,79.54,85.88,6.57,60.42
Rice,pH Stress,89.19,85.97,53.8,7.78,67.04
Cotton,pH Stress,45.15,48.38,79.41,5.78,39.15
Cotton,Nitrogen Deficiency,76.17,76.3,59.51,6.88,34.98
Maize,Potassium Toxicity,87.72,64.92,67.83,7.52,40.55
Wheat,Nitrogen Deficiency,67.11,65.91,40.78,5.96,45.73
Rice,Phosphorus Deficiency,45.73,51.84,41.1,4.46,32.18
Sugarcane,Phosphorus Deficiency,81.07,70.0,86.68,5.25,62.4
Maize,pH Stress,59.04,65.6,83.26,6.88,64.29
Cotton,Potassium Toxicity,50.15,70.84,42.67,5.25,67.44
Wheat,pH Stress,55.69,65.72,44.95,5.74,68.72
Sugarcane,Potassium Toxicity,83.63,65.18,65.64,5.71,59.53
Rice,pH Stress,55.75,73.01,65.21,4.83,63.17
Maize,Potassium Toxicity,66.1,65.62,88.01,4.25,62.5
Sugarcane,Nitrogen Deficiency,64.86,58.37,62.03,5.89,64.67
Rice,pH Stress,52.22,86.86,60.58,6.6,64.02
Rice,Nitrogen Deficiency,48.5,57.98,54.45,7.84,62.32
Rice,Phosphorus Deficiency,69.97,47.48,86.07,6.91,45.16
Maize,Optimal Health,67.43,59.77,63.38,5.06,43.32
Cotton,Potassium Toxicity,82.93,81.11,40.98,6.2,48.81
Sugarcane,Potassium Toxicity,83.45,80.85,83.6,6.65,68.53
Maize,Nitrogen Deficiency,61.98,68.17,49.45,4.12,47.16
Cotton,Nitrogen Deficiency,63.68,63.59,50.85,6.62,64.68
Sugarcane,pH Stress,87.64,60.11,48.8,6.99,51.95
Rice,Optimal Health,76.38,77.07,49.74,6.86,60.69
Maize,Potassium Toxicity,63.19,69.93,57.22,5.85,44.04
Maize,Potassium Toxicity,86.67,70.4,61.43,7.25,57.73
Rice,Nitrogen Deficiency,84.33,47.0,59.2,4.48,44.0
Rice,Optimal Health,42.36,49.86,74.71,4.66,56.04
Wheat,Potassium Toxicity,60.73,48.98,85.21,5.95,44.65
Cotton,Phosphorus Deficiency,89.62,54.97,62.74,5.45,65.46
Cotton,Nitrogen Deficiency,41.67,44.45,84.36,4.18,38.57
Maize,Optimal Health,76.58,59.46,66.13,6.0,55.2
Cotton,Potassium Toxicity,55.65,50.53,84.35,5.12,61.53
Sugarcane,pH Stress,63.99,54.6,54.16,4.06,45.94
Wheat,Optimal Health,78.37,63.31,69.18,5.36,53.25
Sugarcane,Phosphorus Deficiency,59.14,43.42,70.59,7.96,65.31
Cotton,pH Stress,71.09,61.8,46.92,4.24,50.15
Sugarcane,Optimal Health,71.73,46.9,82.05,4.82,34.85
Wheat,Nitrogen Deficiency,79.52,44.14,60.24,6.06,67.52
Maize,Optimal Health,66.31,79.36,47.54,7.22,50.43
Cotton,Nitrogen Deficiency,75.65,75.1,66.53,5.61,30.31
Sugarcane,Optimal Health,68.72,71.47,54.82,5.27,51.03
Cotton,Phosphorus Deficiency,64.01,43.02,65.54,6.84,67.39
Rice,Potassium Toxicity,43.9,63.15,79.42,5.22,58.85
Maize,pH Stress,42.79,43.72,47.01,7.3,61.01
Maize,Phosphorus Deficiency,56.04,71.73,81.9,7.98,55.03
Rice,Potassium Toxicity,74.57,49.2,50.89,4.03,55.34
Rice,Optimal Health,58.17,71.75,82.72,6.54,60.98
Sugarcane,Optimal Health,64.8,80.84,59.23,5.21,66.67
Cotton,Nitrogen Deficiency,61.84,61.67,75.01,5.15,60.66
Sugarcane,Optimal Health,72.34,77.99,43.47,7.12,50.96
Maize,Nitrogen Deficiency,44.39,46.13,88.81,5.38,49.01
Cotton,Optimal Health,40.43,89.39,70.81,5.01,38.32
Wheat,Nitrogen Deficiency,64.15,88.79,78.77,6.23,43.72
Maize,Nitrogen Deficiency,56.24,69.69,43.99,4.44,34.58
Rice,Phosphorus Deficiency,56.27,59.43,43.41,4.67,63.62
Maize,Potassium Toxicity,45.14,68.19,85.35,4.39,42.87
Rice,Nitrogen Deficiency,69.38,41.26,56.73,7.29,50.8
Maize,Optimal Health,53.54,87.78,49.8,7.9,36.37
Maize,pH Stress,59.14,69.05,81.31,4.31,51.27
Maize,Potassium Toxicity,40.68,76.4,81.33,6.28,62.07
Rice,Potassium Toxicity,70.88,88.53,57.4,7.52,69.63
Sugarcane,Optimal Health,46.86,48.06,72.81,6.22,53.7
Wheat,Phosphorus Deficiency,45.61,48.42,63.74,6.76,44.76
Rice,pH Stress,60.06,67.95,46.2,5.92,60.29
Maize,Optimal Health,76.13,67.51,62.15,7.3,49.52
Wheat,pH Stress,53.86,82.99,80.69,6.33,44.61
Rice,pH Stress,51.81,59.7,47.63,5.93,65.25
Maize,Phosphorus Deficiency,63.21,64.03,86.29,7.2,31.35
Wheat,Nitrogen Deficiency,61.11,41.95,81.08,7.29,62.52
Sugarcane,Potassium Toxicity,75.54,42.44,66.32,5.2,53.49
Cotton,Potassium Toxicity,65.36,44.49,45.28,6.34,41.53
Cotton,Nitrogen Deficiency,53.84,87.49,40.05,5.95,58.64
Maize,Nitrogen Deficiency,77.31,44.98,79.23,6.18,55.05
Cotton,Potassium Toxicity,52.18,77.05,82.17,4.3,48.84
Wheat,Potassium Toxicity,74.83,81.5,59.96,7.02,60.92
Cotton,pH Stress,64.46,80.35,61.76,5.22,43.03
Wheat,Nitrogen Deficiency,48.85,42.56,70.23,4.97,69.94
Maize,Optimal Health,46.41,75.12,77.78,7.95,67.35
Maize,Potassium Toxicity,86.89,86.84,72.25,4.83,69.89
Sugarcane,Potassium Toxicity,88.87,75.84,87.73,5.56,61.67
Sugarcane,Optimal Health,49.32,86.17,42.03,6.6,65.15
Rice,Phosphorus Deficiency,73.96,44.28,87.69,7.34,37.87
Rice,Phosphorus Deficiency,76.89,83.69,89.3,6.6,67.58
Wheat,Nitrogen Deficiency,84.9,87.97,41.56,6.14,66.14
Cotton,Optimal Health,83.08,84.17,46.01,4.94,59.83
Rice,Phosphorus Deficiency,40.55,57.22,45.13,6.5,58.15
Cotton,Phosphorus Deficiency,76.96,69.68,73.66,6.99,52.71
Rice,Nitrogen Deficiency,85.6,87.61,77.23,7.27,52.65
Cotton,Nitrogen Deficiency,75.69,70.15,49.29,7.52,56.59
Maize,Optimal Health,83.25,60.67,48.16,6.42,50.71
Sugarcane,Optimal Health,69.59,59.89,62.84,5.25,33.93
Cotton,Phosphorus Deficiency,54.91,45.71,42.13,4.22,53.6
Rice,Nitrogen Deficiency,73.75,74.37,61.45,7.44,63.84
Wheat,Optimal Health,67.34,66.2,57.81,7.48,55.67
Sugarcane,Optimal Health,86.42,41.97,87.61,4.88,62.04
Wheat,Optimal Health,73.44,48.3,51.32,4.15,60.64
Wheat,pH Stress,55.84,53.94,65.61,5.58,65.62
Cotton,Optimal Health,43.91,54.48,55.92,5.2,40.04
Wheat,Nitrogen Deficiency,63.35,46.63,55.24,7.74,42.6
Wheat,Nitrogen Deficiency,74.0,54.53,88.65,6.78,50.43
Cotton,Potassium Toxicity,44.0,56.88,59.61,4.62,41.99
Cotton,Potassium Toxicity,68.59,51.89,86.61,6.54,30.02
Rice,Phosphorus Deficiency,56.86,76.84,71.7,4.41,34.42
Wheat,Optimal Health,56.11,83.62,46.93,7.95,50.76
Rice,Nitrogen Deficiency,64.64,89.78,65.88,6.1,31.03
Cotton,pH Stress,57.45,74.9,77.57,7.36,68.16
Wheat,pH Stress,63.57,88.07,48.95,6.91,38.32
Rice,Potassium Toxicity,62.85,62.06,52.36,5.81,61.08
Rice,pH Stress,67.41,88.93,54.07,6.93,45.3
Sugarcane,pH Stress,47.8,69.15,86.41,5.54,34.23
Wheat,pH Stress,84.24,57.87,60.13,4.03,61.29
Rice,Optimal Health,81.48,81.08,79.56,7.36,66.34
Rice,Optimal Health,69.4,87.66,56.71,6.15,59.94
Maize,pH Stress,50.58,86.18,89.85,4.76,52.32
Rice,pH Stress,48.42,82.74,79.51,6.55,65.67
Cotton,pH Stress,49.17,78.17,42.89,6.95,64.94
Wheat,Phosphorus Deficiency,66.14,74.07,63.48,4.64,32.76
Sugarcane,Potassium Toxicity,88.41,54.85,53.38,5.2,38.8
Wheat,Optimal Health,69.46,63.96,44.27,5.78,61.44
Cotton,Optimal Health,74.19,69.45,54.69,5.81,30.57
Cotton,Optimal Health,59.79,48.2,89.99,6.9,46.92
Maize,Phosphorus Deficiency,60.19,48.56,86.14,5.47,62.42
Maize,pH Stress,56.48,84.22,55.42,4.46,56.41
Cotton,Potassium Toxicity,57.8,86.19,40.79,6.6,34.92
Sugarcane,Potassium Toxicity,61.67,55.84,78.12,4.24,51.73
Maize,pH Stress,89.74,48.64,58.84,4.97,31.65
Sugarcane,Optimal Health,87.92,77.29,76.55,7.43,52.73
Sugarcane,Potassium Toxicity,75.38,47.34,79.62,6.48,64.86
Cotton,Phosphorus Deficiency,45.59,81.62,54.09,7.65,41.92
Sugarcane,Nitrogen Deficiency,77.11,66.32,76.97,5.7,60.44
Sugarcane,Potassium Toxicity,48.92,83.35,48.26,7.26,59.72
Rice,Nitrogen Deficiency,43.95,68.5,88.38,4.22,50.87
Maize,Nitrogen Deficiency,75.47,62.31,72.24,6.1,66.12
Wheat,Optimal Health,79.69,71.78,66.31,5.65,47.58
Sugarcane,Nitrogen Deficiency,73.65,48.5,85.75,5.97,36.18
Sugarcane,pH Stress,54.79,63.57,55.57,4.97,69.12
Rice,Optimal Health,49.38,83.65,75.63,4.03,40.08
Maize,pH Stress,60.51,75.13,41.94,7.59,36.54
Wheat,Optimal Health,69.77,79.34,54.83,7.0,58.71
Cotton,Potassium Toxicity,80.54,63.57,89.07,6.59,65.14
Cotton,Nitrogen Deficiency,78.72,56.49,62.12,4.18,31.79
Wheat,Nitrogen Deficiency,60.87,64.66,48.2,7.99,53.24
Cotton,pH Stress,81.64,60.92,89.8,7.02,52.24
Rice,Phosphorus Deficiency,68.28,45.19,88.21,5.42,45.98
Rice,Potassium Toxicity,68.78,45.76,72.07,4.01,49.05
Cotton,Phosphorus Deficiency,50.6,89.85,49.1,6.16,45.94
Cotton,Optimal Health,57.44,51.01,59.74,6.66,56.92
Cotton,Optimal Health,78.67,76.64,67.02,7.83,51.64
Cotton,Nitrogen Deficiency,72.62,58.09,81.7,5.51,35.53
Cotton,Nitrogen Deficiency,84.78,58.67,51.6,7.53,34.31
Maize,Optimal Health,59.99,57.91,88.8,4.91,32.94
Wheat,Optimal Health,53.94,63.2,73.94,6.06,37.62
Cotton,Phosphorus Deficiency,68.08,40.24,54.75,5.46,66.09
Wheat,Optimal Health,40.73,53.22,48.29,4.82,35.18
Maize,Optimal Health,74.07,69.46,78.4,6.22,68.82
Maize,pH Stress,41.48,71.78,86.36,5.62,68.72
Rice,Phosphorus Deficiency,78.56,56.33,68.3,6.92,37.35
Maize,pH Stress,48.94,85.72,70.11,7.99,50.65
Cotton,Optimal Health,72.79,53.32,77.93,5.63,50.98
Wheat,Optimal Health,40.71,57.9,80.68,7.2,67.46
Rice,Phosphorus Deficiency,85.29,57.56,49.17,4.01,49.73
Sugarcane,Optimal Health,75.36,67.5,63.79,6.6,57.28
Wheat,Optimal Health,66.6,61.27,73.9,6.89,44.05
Wheat,pH Stress,57.99,60.57,69.93,7.8,38.41
Rice,pH Stress,75.25,83.31,44.48,5.43,64.87
Rice,pH Stress,42.79,49.71,48.53,4.97,58.44
Cotton,pH Stress,76.97,76.13,62.93,4.4,69.81
Cotton,Potassium Toxicity,41.53,75.98,42.95,4.46,49.09
Sugarcane,Phosphorus Deficiency,68.51,66.34,54.98,7.67,55.69
Maize,Potassium Toxicity,58.1,74.04,61.73,4.07,47.14
Sugarcane,pH Stress,54.38,88.0,69.98,6.24,36.3
Sugarcane,Potassium Toxicity,45.97,54.66,87.96,7.81,60.8
Maize,Potassium Toxicity,74.17,63.89,71.89,5.46,69.23
Sugarcane,Nitrogen Deficiency,76.53,65.07,60.4,6.64,30.06
Rice,Nitrogen Deficiency,79.9,54.16,45.77,7.1,69.42
Sugarcane,Potassium Toxicity,62.85,41.34,43.08,4.22,32.0
Wheat,pH Stress,84.93,89.06,68.28,6.09,50.02
Rice,pH Stress,51.58,59.68,51.04,7.56,41.97
Wheat,Phosphorus Deficiency,41.15,63.94,72.66,6.06,68.67
Maize,Potassium Toxicity,48.68,64.53,69.12,7.78,47.52
Maize,Potassium Toxicity,66.16,49.21,57.17,5.64,64.12
Maize,Nitrogen Deficiency,88.34,64.72,44.6,5.05,52.49
Rice,Nitrogen Deficiency,41.61,41.56,55.63,6.61,35.21
Sugarcane,Optimal Health,44.18,71.09,56.07,4.72,34.02
Wheat,Potassium Toxicity,89.19,78.08,70.57,7.45,65.29
Sugarcane,pH Stress,66.98,63.28,86.63,5.51,34.96
Maize,pH Stress,80.53,41.99,64.84,7.73,32.78
Wheat,Nitrogen Deficiency,44.4,65.17,82.81,6.2,47.77
Rice,Nitrogen Deficiency,40.95,79.3,42.38,7.29,48.88
Rice,Optimal Health,81.22,72.7,46.97,7.29,56.37
Cotton,Optimal Health,70.09,50.62,51.95,7.52,37.56
Cotton,Potassium Toxicity,53.65,48.88,57.46,7.36,55.34
Rice,Phosphorus Deficiency,43.74,54.68,43.92,7.93,43.64
Maize,pH Stress,51.31,87.45,62.49,5.46,58.65
Sugarcane,Nitrogen Deficiency,61.41,87.14,75.04,4.05,49.74
Sugarcane,Phosphorus Deficiency,48.08,83.37,83.63,7.12,43.77
Maize,Phosphorus Deficiency,40.56,74.57,52.82,6.19,56.44
Rice,Phosphorus Deficiency,50.81,70.62,70.74,5.45,65.08
Maize,Phosphorus Deficiency,59.65,59.37,81.91,7.84,53.89
Sugarcane,pH Stress,81.02,86.13,69.49,7.94,60.27
Wheat,Phosphorus Deficiency,56.71,76.88,40.73,4.4,68.2
Sugarcane,Optimal Health,81.61,61.41,43.34,5.74,68.31
Cotton,pH Stress,42.56,44.67,86.78,5.13,52.99
Rice,Optimal Health,74.24,89.24,52.87,6.16,56.82
Maize,Nitrogen Deficiency,74.47,73.37,54.2,4.51,66.29
Rice,Phosphorus Deficiency,79.5,52.64,64.39,5.03,56.34
Sugarcane,Potassium Toxicity,70.42,72.79,87.58,5.5,60.19
Cotton,pH Stress,59.0,85.07,85.65,4.55,54.04
Wheat,Potassium Toxicity,74.95,40.1,45.8,5.33,58.46
Maize,Phosphorus Deficiency,52.6,78.88,66.71,7.52,32.1
Rice,Phosphorus Deficiency,60.66,66.66,85.06,5.11,50.78
Wheat,Potassium Toxicity,49.54,89.46,43.65,6.54,47.67
Maize,Phosphorus Deficiency,76.93,68.52,76.32,7.8,44.75
Rice,Nitrogen Deficiency,56.05,63.88,56.65,4.1,37.35
Rice,Nitrogen Deficiency,51.13,62.87,44.51,4.36,42.26
Rice,Phosphorus Deficiency,67.35,60.82,84.42,5.74,45.34
Wheat,Nitrogen Deficiency,53.12,68.28,43.77,4.82,41.04
Rice,Potassium Toxicity,49.53,61.11,52.47,4.21,50.08
Wheat,pH Stress,67.31,76.16,61.44,6.37,41.3
Maize,Optimal Health,88.3,40.97,63.9,7.74,50.0
Maize,Phosphorus Deficiency,71.77,58.68,52.51,7.31,31.05
Sugarcane,Potassium Toxicity,42.05,43.16,55.43,4.2,40.27
Wheat,Nitrogen Deficiency,60.8,67.72,54.79,6.73,36.97
Wheat,Optimal Health,44.7,56.24,47.17,4.49,33.89
Maize,Nitrogen Deficiency,83.88,76.01,89.23,7.42,35.75
Sugarcane,Nitrogen Deficiency,73.07,65.68,60.17,7.18,57.57
Wheat,Optimal Health,56.77,64.88,84.91,7.86,61.49
Cotton,Nitrogen Deficiency,41.52,88.38,43.79,6.44,44.76
Cotton,Phosphorus Deficiency,69.31,59.62,65.43,7.46,66.69
Rice,Nitrogen Deficiency,44.55,55.23,80.88,5.9,57.19
Sugarcane,Optimal Health,83.82,49.47,56.15,7.4,55.35
Rice,Phosphorus Deficiency,71.83,80.63,73.81,5.21,52.61
Wheat,Nitrogen Deficiency,56.41,47.33,64.81,7.09,46.85
Wheat,Phosphorus Deficiency,84.29,57.75,60.17,5.89,39.89
Maize,Optimal Health,40.04,58.8,87.25,4.05,33.98
Wheat,pH Stress,79.74,50.19,50.3,5.75,43.3
Cotton,Phosphorus Deficiency,43.6,42.06,71.56,6.53,35.41
Cotton,Nitrogen Deficiency,47.41,51.26,46.65,5.95,69.31
Rice,pH Stress,70.18,46.98,77.23,4.74,57.16
Cotton,pH Stress,72.76,42.48,62.38,4.12,59.35
Sugarcane,Optimal Health,47.9,56.2,84.85,4.99,40.33
Cotton,Optimal Health,48.49,77.31,73.52,4.95,40.1
Sugarcane,pH Stress,52.68,52.52,75.1,4.8,49.98
Sugarcane,Potassium Toxicity,55.5,84.99,75.64,5.1,34.35
Maize,Phosphorus Deficiency,83.68,57.14,46.12,7.47,41.57
Cotton,Phosphorus Deficiency,54.25,65.38,51.87,5.87,60.95
Rice,Potassium Toxicity,77.09,53.65,62.49,6.26,67.79
Maize,Optimal Health,75.96,81.72,42.81,6.9,40.48
Wheat,Phosphorus Deficiency,74.02,40.72,88.76,4.95,61.19
Rice,Optimal Health,78.08,83.45,85.04,5.74,47.39
Rice,Phosphorus Deficiency,81.55,82.32,59.99,5.77,60.96
Rice,Nitrogen Deficiency,41.09,73.59,89.74,7.73,39.23
Maize,Potassium Toxicity,52.34,77.46,55.32,5.33,42.47
Sugarcane,Phosphorus Deficiency,44.08,73.27,79.13,5.14,55.96
Maize,Potassium Toxicity,56.73,85.95,41.0,7.88,31.34
Wheat,Nitrogen Deficiency,88.53,81.35,74.72,5.17,34.29
Cotton,Optimal Health,52.13,84.65,73.83,6.46,52.95
Sugarcane,Optimal Health,44.18,68.92,49.63,7.42,59.28
Wheat,Phosphorus Deficiency,44.28,52.76,66.59,4.82,54.74
Cotton,Nitrogen Deficiency,40.24,66.84,50.57,4.24,30.91
Rice,pH Stress,42.03,83.64,68.65,7.69,54.98
Wheat,Potassium Toxicity,64.67,66.98,72.55,7.59,32.95
Maize,Optimal Health,60.91,58.5,74.58,4.28,44.27
