crop,health_status,n,p,k,ph,soil_moisture
Maize,Potassium Toxicity,91.41,42.25,162.41,6.64,62.91
Wheat,Potassium Toxicity,90.45,36.66,196.97,6.52,81.21
Maize,Potassium Toxicity,92.73,44.67,152.39,6.58,83.6
Maize,Potassium Toxicity,80.15,47.66,225.12,6.51,66.39
Sugarcane,Optimal Health,94.96,40.2,70.01,6.79,69.07
Rice,pH Stress,93.63,50.7,71.63,4.08,73.01
Maize,Optimal Health,83.6,58.74,53.01,6.83,84.28
Maize,pH Stress,85.86,57.65,74.04,4.27,70.06
Maize,Nitrogen Deficiency,26.01,38.66,76.88,6.61,77.55
Maize,Potassium Toxicity,109.81,56.55,244.08,6.09,84.07
Sugarcane,Nitrogen Deficiency,16.73,40.87,75.16,6.57,76.75
Cotton,pH Stress,88.22,58.37,50.57,5.1,79.21
Rice,Potassium Toxicity,102.07,48.9,218.14,6.32,76.8
Cotton,Optimal Health,109.63,59.09,75.94,6.34,67.75
Wheat,pH Stress,91.41,48.52,58.13,4.71,74.43
Rice,Nitrogen Deficiency,27.99,59.9,79.23,6.21,79.39
Sugarcane,Nitrogen Deficiency,28.4,50.72,57.29,6.6,61.64
Maize,Optimal Health,116.87,45.52,66.91,6.16,66.59
Rice,Potassium Toxicity,71.49,36.4,231.7,6.91,68.02
Sugarcane,Nitrogen Deficiency,13.96,50.49,53.5,7.3,81.96
Maize,Nitrogen Deficiency,15.82,45.54,51.99,6.93,83.65
Sugarcane,Potassium Toxicity,104.9,58.53,215.85,7.47,60.18
Rice,Nitrogen Deficiency,28.6,52.08,64.8,7.19,71.78
Cotton,Phosphorus Deficiency,77.71,22.69,78.24,6.09,66.2
Sugarcane,Optimal Health,93.94,37.88,64.0,6.6,64.05
Cotton,Optimal Health,78.84,56.8,78.74,7.24,72.04
Rice,Nitrogen Deficiency,21.15,54.14,66.46,6.19,65.88
Rice,Phosphorus Deficiency,100.4,22.42,66.1,6.28,63.34
Cotton,Phosphorus Deficiency,107.83,19.39,55.43,7.32,77.08
Sugarcane,pH Stress,109.37,54.93,58.72,4.56,72.19
Rice,pH Stress,88.93,42.09,51.56,4.02,67.69
Sugarcane,Optimal Health,98.7,35.45,56.9,6.45,80.49
Cotton,Phosphorus Deficiency,77.12,20.82,79.32,6.43,71.73
Wheat,Phosphorus Deficiency,86.28,22.32,74.95,7.48,60.55
Rice,Phosphorus Deficiency,93.88,17.99,78.08,6.05,69.75
Sugarcane,Potassium Toxicity,118.88,47.22,193.98,6.28,61.01
Wheat,Optimal Health,115.84,54.24,53.29,6.02,69.75
Sugarcane,Potassium Toxicity,92.36,47.12,201.85,6.04,82.78
Wheat,pH Stress,84.73,45.43,71.68,5.29,67.46
Rice,Potassium Toxicity,83.32,53.55,225.64,6.6,64.73
Rice,pH Stress,77.61,47.77,58.52,5.25,64.9
Rice,pH Stress,110.44,38.2,67.37,5.48,66.54
Wheat,Nitrogen Deficiency,27.84,36.48,73.56,6.63,82.45
Cotton,pH Stress,74.04,54.96,51.59,5.23,69.43
Cotton,Optimal Health,89.76,53.21,68.1,6.18,71.53
Maize,Nitrogen Deficiency,24.38,35.5,68.23,6.95,84.83
Cotton,Phosphorus Deficiency,72.61,15.04,70.57,6.49,77.07
Sugarcane,Optimal Health,97.54,40.8,73.84,6.14,71.18
Wheat,Potassium Toxicity,78.14,51.04,206.14,6.14,64.77
Rice,pH Stress,102.36,45.97,58.13,4.98,80.9
Cotton,Optimal Health,101.16,53.98,61.9,7.45,84.68
Rice,Optimal Health,105.46,58.21,64.95,6.46,70.1
Rice,Nitrogen Deficiency,10.59,53.85,79.02,6.77,69.61
Rice,Optimal Health,111.41,47.97,79.49,6.36,81.15
Rice,Optimal Health,78.77,58.51,69.44,6.57,69.77
Maize,Optimal Health,73.42,50.13,54.52,7.2,82.69
Cotton,pH Stress,78.3,38.67,76.5,5.39,67.1
Maize,Optimal Health,106.34,43.71,73.58,6.18,82.81
Rice,Phosphorus Deficiency,75.89,11.21,61.59,6.12,68.61
Sugarcane,Potassium Toxicity,86.87,55.0,248.63,6.65,66.97
Wheat,Optimal Health,94.71,50.06,76.67,6.02,60.84
Rice,Nitrogen Deficiency,12.85,49.91,77.13,6.22,60.92
Maize,Optimal Health,118.95,56.49,59.83,6.18,69.84
Cotton,Optimal Health,77.3,41.84,70.69,7.08,69.94
Maize,pH Stress,103.94,44.86,63.33,5.18,74.05
Wheat,Potassium Toxicity,91.2,47.96,160.91,6.76,81.67
Rice,Optimal Health,107.12,39.05,70.57,7.44,83.48
Rice,Nitrogen Deficiency,25.59,36.22,62.02,6.93,70.07
Maize,Optimal Health,71.78,45.21,73.68,6.52,67.08
Wheat,Phosphorus Deficiency,72.46,12.37,52.24,7.15,61.2
Cotton,pH Stress,112.32,41.25,57.95,4.34,72.12
Wheat,pH Stress,114.1,57.92,76.68,5.14,70.52
Sugarcane,Nitrogen Deficiency,29.39,38.93,71.36,6.84,82.54
Cotton,Nitrogen Deficiency,28.06,49.53,78.62,6.77,62.63
Cotton,pH Stress,109.45,53.67,71.1,5.48,69.12
Sugarcane,Nitrogen Deficiency,24.81,52.0,79.11,7.09,75.18
Rice,pH Stress,111.95,41.13,53.2,4.08,79.07
Cotton,Potassium Toxicity,104.3,56.44,165.22,6.66,82.43
Rice,pH Stress,106.81,45.84,72.96,4.51,79.4
Rice,pH Stress,113.08,53.86,53.68,4.39,82.2
Wheat,pH Stress,91.74,47.97,55.97,4.32,66.24
Sugarcane,Nitrogen Deficiency,20.34,37.86,77.47,7.39,65.24
Wheat,Potassium Toxicity,98.22,44.63,185.73,7.4,65.29
Maize,Optimal Health,102.81,42.14,63.52,7.37,80.36
Wheat,Optimal Health,90.14,43.02,60.89,6.94,67.77
Cotton,Phosphorus Deficiency,115.41,16.69,66.26,7.34,76.89
Maize,Potassium Toxicity,113.46,54.57,216.26,6.49,83.79
Rice,Nitrogen Deficiency,21.22,41.04,75.89,6.96,77.11
Cotton,Nitrogen Deficiency,26.68,52.48,62.92,6.35,70.55
Maize,Phosphorus Deficiency,106.73,10.86,78.8,7.34,61.6
Wheat,Optimal Health,114.32,57.15,73.19,7.27,65.91
Cotton,Potassium Toxicity,110.04,54.23,205.53,7.44,69.76
Wheat,Optimal Health,119.82,56.1,56.24,6.94,71.19
Sugarcane,Optimal Health,98.27,48.57,71.97,6.33,74.13
Maize,Optimal Health,73.58,38.15,79.68,6.5,82.16
Maize,Potassium Toxicity,115.06,38.17,244.3,6.27,68.63
Cotton,Phosphorus Deficiency,111.66,15.74,77.16,6.41,67.61
Sugarcane,pH Stress,118.3,46.21,55.6,5.13,79.18
Rice,Optimal Health,88.9,55.37,76.74,6.78,78.66
Maize,Optimal Health,118.6,52.81,56.71,6.11,84.02
Wheat,Potassium Toxicity,118.74,52.43,181.95,6.45,81.87
Maize,Nitrogen Deficiency,17.68,52.48,59.0,7.2,64.24
Rice,Optimal Health,75.75,52.36,60.33,6.75,84.49
Rice,Phosphorus Deficiency,92.43,22.61,73.6,6.16,82.22
Wheat,pH Stress,91.22,38.08,65.08,4.07,66.18
Maize,Optimal Health,113.29,49.93,69.22,7.32,71.41
Wheat,Nitrogen Deficiency,10.16,58.14,52.83,6.33,68.55
Wheat,Potassium Toxicity,102.09,56.42,224.18,6.65,73.8
Maize,pH Stress,96.51,44.06,79.99,4.02,65.04
Rice,pH Stress,105.76,50.92,64.96,5.09,78.19
Maize,Nitrogen Deficiency,28.4,37.2,70.83,6.21,76.12
Rice,Nitrogen Deficiency,11.51,44.43,63.71,6.05,75.23
Sugarcane,Nitrogen Deficiency,11.48,43.32,74.35,6.91,62.98
Wheat,Optimal Health,73.34,46.13,76.38,6.6,68.49
Maize,pH Stress,84.21,59.59,54.83,4.3,64.09
Maize,Phosphorus Deficiency,109.71,13.67,79.61,7.34,84.9
Cotton,pH Stress,98.91,52.35,62.07,5.03,68.97
Maize,Potassium Toxicity,106.32,39.25,156.47,6.6,68.53
Sugarcane,pH Stress,110.53,48.33,75.95,4.53,70.16
Wheat,Phosphorus Deficiency,71.5,12.4,79.43,6.51,83.74
Wheat,pH Stress,79.5,45.44,60.19,5.29,80.24
Sugarcane,Nitrogen Deficiency,20.47,49.58,69.0,7.29,60.47
Rice,pH Stress,83.69,58.95,50.12,5.09,67.02
Rice,Phosphorus Deficiency,101.93,17.99,56.79,6.05,83.06
Rice,Optimal Health,110.02,52.65,74.3,7.44,84.91
Maize,Optimal Health,116.03,35.73,50.41,6.49,77.33
Rice,Potassium Toxicity,76.46,45.28,242.25,6.37,63.25
Cotton,Optimal Health,70.59,50.58,72.35,7.17,83.18
Maize,pH Stress,70.07,41.43,76.92,5.3,82.5
Sugarcane,pH Stress,87.57,42.66,66.65,4.93,61.79
Sugarcane,pH Stress,119.21,56.77,70.31,4.93,71.1
Maize,Nitrogen Deficiency,21.35,56.11,50.32,6.42,67.39
Maize,pH Stress,117.6,50.87,61.03,5.42,60.59
Wheat,Optimal Health,109.29,58.9,74.58,7.01,65.86
Rice,Potassium Toxicity,84.18,48.75,218.82,7.31,67.98
Wheat,pH Stress,91.21,41.05,69.56,5.37,78.04
Rice,Potassium Toxicity,94.06,44.92,229.18,6.56,71.71
Sugarcane,Potassium Toxicity,118.0,57.29,181.22,7.19,79.53
Maize,Potassium Toxicity,93.86,37.9,239.25,7.2,84.48
Rice,Potassium Toxicity,71.27,36.98,236.08,6.64,60.3
Rice,pH Stress,83.56,36.46,65.26,4.55,67.03
Cotton,Nitrogen Deficiency,12.62,36.63,74.46,6.23,69.39
Wheat,pH Stress,93.52,52.55,59.75,4.59,83.12
Rice,Nitrogen Deficiency,11.53,39.2,65.07,6.27,64.61
Sugarcane,Optimal Health,74.07,54.39,71.13,6.04,84.82
Sugarcane,Nitrogen Deficiency,27.0,51.67,58.13,6.72,76.25
Maize,Optimal Health,115.64,44.94,67.56,6.76,65.34
Sugarcane,Potassium Toxicity,80.19,35.78,165.96,6.33,82.82
Cotton,Nitrogen Deficiency,13.41,47.05,77.49,6.93,83.95
Wheat,Nitrogen Deficiency,11.8,48.83,61.18,6.59,75.06
Rice,Phosphorus Deficiency,98.51,22.52,71.42,6.24,82.72
Maize,Phosphorus Deficiency,76.65,22.75,62.11,6.95,71.41
Maize,Phosphorus Deficiency,81.71,12.32,76.54,7.23,61.21
Wheat,Nitrogen Deficiency,10.55,59.23,64.5,6.76,69.94
Maize,Nitrogen Deficiency,26.02,45.62,59.56,6.2,71.34
Maize,Potassium Toxicity,111.14,56.28,203.46,6.83,79.03
Rice,Nitrogen Deficiency,27.84,39.76,62.42,6.02,76.9
Rice,Phosphorus Deficiency,111.85,22.21,67.16,6.32,70.1
Cotton,Optimal Health,75.61,45.24,68.53,7.17,61.21
Maize,pH Stress,114.48,53.52,58.65,5.21,83.38
Cotton,Potassium Toxicity,113.24,51.08,168.41,7.01,63.97
Wheat,pH Stress,118.9,48.09,74.81,4.34,83.88
Sugarcane,pH Stress,96.98,52.45,58.61,5.41,62.71
Cotton,Nitrogen Deficiency,21.38,52.49,75.86,6.24,71.39
Maize,Optimal Health,93.35,58.07,64.44,6.66,64.87
Rice,Phosphorus Deficiency,103.31,14.5,72.96,6.77,77.38
Maize,Potassium Toxicity,103.22,35.86,173.63,7.12,73.31
Sugarcane,Optimal Health,118.59,40.29,76.76,6.96,60.59
Sugarcane,Nitrogen Deficiency,10.8,59.31,73.81,6.16,81.13
Maize,Potassium Toxicity,115.61,49.7,157.87,7.43,76.8
Wheat,Potassium Toxicity,93.17,51.65,166.11,6.91,68.29
Sugarcane,Optimal Health,73.28,51.94,75.2,7.48,62.82
Rice,Potassium Toxicity,118.24,52.76,151.84,6.2,71.04
Wheat,Potassium Toxicity,92.53,59.01,212.98,6.77,81.32
Cotton,Potassium Toxicity,78.45,38.52,242.73,7.25,65.13
Rice,Optimal Health,70.64,56.32,68.32,7.33,77.59
Sugarcane,Nitrogen Deficiency,29.3,44.2,70.31,7.37,69.73
Wheat,Optimal Health,111.87,46.51,55.12,7.14,77.95
Cotton,pH Stress,75.8,49.56,71.75,5.17,76.71
Cotton,pH Stress,117.15,38.31,51.66,4.1,84.22
Sugarcane,Nitrogen Deficiency,28.47,48.73,51.45,7.34,75.43
Cotton,pH Stress,104.57,49.46,76.15,5.16,62.39
Cotton,Nitrogen Deficiency,25.48,55.95,75.34,6.54,75.34
Maize,Nitrogen Deficiency,25.48,43.62,52.77,7.22,71.76
Wheat,Phosphorus Deficiency,72.29,16.44,52.44,7.27,66.21
Rice,pH Stress,72.4,35.79,75.82,5.01,61.79
Maize,pH Stress,104.13,48.27,77.95,5.49,79.49
Sugarcane,Optimal Health,113.29,59.78,59.9,6.41,61.1
Cotton,Potassium Toxicity,88.88,35.63,177.69,6.97,82.97
Wheat,Optimal Health,77.55,43.93,56.35,6.47,61.36
Wheat,Nitrogen Deficiency,27.07,53.37,56.45,6.12,74.89
Cotton,Potassium Toxicity,103.22,47.66,190.67,6.22,83.35
Maize,Potassium Toxicity,113.48,38.45,169.89,7.14,63.33
Rice,Potassium Toxicity,75.3,37.52,153.85,6.77,70.54
Cotton,Potassium Toxicity,97.89,41.19,237.99,6.84,70.73
Maize,Nitrogen Deficiency,13.2,46.01,78.89,6.32,74.89
Rice,Nitrogen Deficiency,28.75,38.18,55.88,7.05,64.74
Rice,Nitrogen Deficiency,14.18,49.36,65.51,6.63,69.62
Cotton,Nitrogen Deficiency,18.87,51.34,77.27,7.49,67.98
Maize,Phosphorus Deficiency,80.06,21.34,73.93,6.99,75.34
Maize,Optimal Health,92.01,50.83,54.43,7.3,78.55
Cotton,Optimal Health,93.17,35.69,64.16,6.11,68.9
Sugarcane,Optimal Health,73.42,39.93,68.98,6.53,71.95
Maize,Phosphorus Deficiency,114.46,11.85,74.62,6.14,61.53
Cotton,pH Stress,92.78,49.36,75.82,5.09,61.54
Sugarcane,pH Stress,111.43,51.23,55.37,4.23,70.16
Wheat,Potassium Toxicity,89.16,46.44,202.37,6.43,81.97
Rice,Nitrogen Deficiency,10.26,41.91,63.95,6.99,73.88
Maize,Optimal Health,98.31,47.01,51.74,6.81,80.07
Maize,Nitrogen Deficiency,23.81,36.14,69.16,6.46,77.55
Rice,Nitrogen Deficiency,22.88,44.4,52.84,6.1,61.2
Cotton,Nitrogen Deficiency,15.96,37.06,58.13,6.67,69.08
Sugarcane,Nitrogen Deficiency,24.72,42.2,76.52,6.03,76.82
Maize,Nitrogen Deficiency,11.39,50.31,57.72,6.63,80.43
Maize,Nitrogen Deficiency,13.15,58.53,71.66,6.25,61.84
Maize,Optimal Health,118.43,39.46,56.32,7.46,81.21
Rice,pH Stress,106.53,54.8,50.86,5.06,75.36
Maize,Potassium Toxicity,112.56,57.04,210.89,6.83,63.57
Cotton,Nitrogen Deficiency,26.08,36.12,56.97,6.63,69.05
Rice,Nitrogen Deficiency,25.31,59.11,79.75,6.73,68.59
Cotton,Optimal Health,77.61,40.02,63.15,6.65,67.64
Wheat,Potassium Toxicity,109.8,55.83,241.04,6.73,77.52
Sugarcane,Nitrogen Deficiency,22.83,50.01,69.46,7.39,60.08
Wheat,Nitrogen Deficiency,22.09,53.58,54.3,7.01,61.89
Maize,Potassium Toxicity,82.9,47.15,238.85,6.19,75.54
Sugarcane,Optimal Health,88.64,37.27,56.43,6.94,81.19
Cotton,Potassium Toxicity,78.72,53.23,169.48,7.12,81.72
Cotton,Potassium Toxicity,112.36,36.31,189.2,7.01,74.28
Maize,Optimal Health,75.24,38.87,79.77,6.86,60.25
Sugarcane,Phosphorus Deficiency,93.09,13.49,69.04,7.06,70.59
Maize,Potassium Toxicity,87.97,59.14,211.8,6.94,81.47
Wheat,pH Stress,117.32,53.75,73.29,5.48,80.54
Wheat,Potassium Toxicity,81.37,47.16,161.6,6.26,76.0
Rice,Phosphorus Deficiency,105.15,23.09,55.29,7.03,69.89
Sugarcane,pH Stress,81.83,39.63,77.91,5.01,72.38
Rice,Optimal Health,72.81,59.37,62.82,6.41,60.85
Rice,Phosphorus Deficiency,112.53,23.27,63.8,6.61,63.92
Sugarcane,Phosphorus Deficiency,105.24,24.51,71.23,7.29,76.0
Sugarcane,Phosphorus Deficiency,89.04,11.09,65.98,6.73,84.8
Rice,Potassium Toxicity,78.0,52.09,230.36,6.41,79.42
Cotton,pH Stress,70.69,49.33,79.43,5.15,70.91
Sugarcane,Potassium Toxicity,116.78,56.11,182.77,6.63,68.49
Maize,pH Stress,105.03,40.38,59.3,5.31,79.53
Cotton,Nitrogen Deficiency,25.25,58.39,74.24,6.3,78.01
Maize,Phosphorus Deficiency,82.74,21.17,79.13,6.98,75.74
Cotton,Phosphorus Deficiency,73.04,16.04,74.82,6.73,82.54
Sugarcane,Optimal Health,82.54,44.2,74.2,7.44,79.03
Rice,Potassium Toxicity,112.77,51.13,170.67,6.17,79.67
Maize,pH Stress,109.96,50.39,64.24,4.32,79.94
Cotton,Nitrogen Deficiency,11.09,48.89,72.9,6.21,76.15
Rice,Phosphorus Deficiency,85.5,19.78,65.98,6.41,66.95
Maize,Phosphorus Deficiency,118.83,19.2,63.82,6.92,78.11
Rice,Phosphorus Deficiency,96.61,21.62,62.43,7.44,74.21
Rice,Nitrogen Deficiency,20.02,51.19,70.86,7.47,80.95
Maize,Phosphorus Deficiency,95.25,23.84,53.21,6.02,71.52
Rice,Nitrogen Deficiency,16.54,45.68,75.92,6.87,82.73
Cotton,Nitrogen Deficiency,23.76,36.5,70.38,7.25,72.79
Sugarcane,Optimal Health,78.62,57.82,51.07,6.02,62.89
Maize,Optimal Health,119.76,53.65,61.13,7.31,66.71
Rice,Nitrogen Deficiency,27.1,36.37,52.47,6.62,62.94
Maize,Optimal Health,117.39,45.29,58.65,7.32,60.12
Maize,Optimal Health,104.15,43.99,54.93,6.47,63.15
Maize,Phosphorus Deficiency,75.11,17.12,59.42,6.76,64.33
Wheat,Optimal Health,116.98,43.77,56.09,6.82,82.1
Wheat,Nitrogen Deficiency,28.87,52.08,74.61,7.32,67.95
Cotton,Nitrogen Deficiency,21.43,37.96,51.06,7.48,83.33
Maize,pH Stress,105.9,44.91,62.19,5.42,76.05
Wheat,Nitrogen Deficiency,26.21,49.78,56.82,6.21,81.19
Wheat,Nitrogen Deficiency,16.45,49.88,67.05,7.13,82.42
Cotton,Optimal Health,119.36,36.69,52.82,6.18,74.53
Cotton,Phosphorus Deficiency,79.27,14.46,77.91,7.31,60.54
Wheat,Potassium Toxicity,115.25,46.77,188.73,7.31,79.6
Rice,Phosphorus Deficiency,73.09,11.45,72.75,7.37,60.37
Maize,Nitrogen Deficiency,20.02,51.72,72.41,6.82,78.25
Wheat,Nitrogen Deficiency,23.76,42.77,73.6,6.62,78.56
Wheat,Optimal Health,106.77,44.41,59.93,6.37,60.21
Rice,Nitrogen Deficiency,18.98,38.49,69.49,7.42,67.67
Rice,Optimal Health,99.06,41.97,71.16,6.67,80.33
Wheat,pH Stress,93.66,46.2,71.22,5.0,79.73
Wheat,Potassium Toxicity,94.94,35.79,248.67,7.15,60.61
Cotton,Potassium Toxicity,82.81,41.14,167.77,6.65,67.36
Rice,Phosphorus Deficiency,77.28,21.07,68.69,6.72,68.12
Maize,Nitrogen Deficiency,29.43,40.74,61.77,7.01,70.3
Sugarcane,Nitrogen Deficiency,23.88,53.93,54.92,6.98,62.9
Cotton,Nitrogen Deficiency,27.53,52.47,61.59,7.28,84.2
Wheat,pH Stress,117.79,45.39,70.49,4.1,73.56
Rice,Phosphorus Deficiency,86.91,15.39,60.24,6.12,66.34
Rice,pH Stress,74.24,48.63,55.47,4.65,70.86
Cotton,Optimal Health,117.45,44.78,69.19,6.97,63.63
Cotton,Optimal Health,70.38,35.41,54.28,6.14,65.75
Wheat,pH Stress,74.85,43.13,50.5,4.53,81.88
Cotton,pH Stress,110.76,38.93,72.82,4.17,84.0
Maize,Potassium Toxicity,73.1,39.27,234.86,6.81,80.3
Sugarcane,Optimal Health,95.97,43.5,59.59,6.82,84.71
Rice,Optimal Health,93.35,40.86,66.55,6.9,83.66
Wheat,pH Stress,91.76,41.95,78.3,5.09,72.89
Sugarcane,Phosphorus Deficiency,103.1,18.07,51.67,7.24,62.28
Cotton,Potassium Toxicity,70.83,40.77,184.61,7.09,77.41
Rice,Potassium Toxicity,88.02,44.64,199.69,6.05,69.66
Maize,Potassium Toxicity,99.51,51.84,178.92,7.38,61.52
Sugarcane,pH Stress,114.9,44.73,57.06,4.92,65.57
Maize,Optimal Health,118.47,35.98,68.06,6.89,68.51
Cotton,pH Stress,72.91,37.23,59.77,5.31,83.5
Cotton,Nitrogen Deficiency,20.09,56.09,76.66,6.79,72.3
Cotton,Nitrogen Deficiency,14.55,52.97,78.58,6.64,84.48
Rice,Optimal Health,116.67,43.91,63.28,7.08,78.84
Rice,Optimal Health,118.87,48.56,78.05,6.05,82.93
Sugarcane,Potassium Toxicity,93.09,38.7,153.72,7.32,77.6
Wheat,Nitrogen Deficiency,12.82,36.11,68.14,6.36,63.11
Sugarcane,Optimal Health,107.68,52.02,55.06,6.71,66.15
Maize,Optimal Health,76.68,39.42,53.93,6.77,62.08
Rice,pH Stress,76.53,58.97,75.95,5.19,78.44
Rice,Nitrogen Deficiency,24.95,38.55,55.78,6.04,84.95
Wheat,Potassium Toxicity,110.49,36.84,249.37,6.51,68.85
Sugarcane,pH Stress,82.51,54.75,58.52,4.73,67.1
Sugarcane,Optimal Health,103.76,42.88,73.95,6.44,70.66
Cotton,Potassium Toxicity,104.52,53.47,201.2,6.23,84.73
Sugarcane,Phosphorus Deficiency,75.18,23.94,57.9,7.2,80.81
Maize,Potassium Toxicity,92.52,52.01,181.59,6.69,76.43
Sugarcane,Potassium Toxicity,96.1,58.93,175.69,6.49,63.04
Rice,Optimal Health,94.92,52.39,75.33,7.31,64.71
Sugarcane,Optimal Health,80.55,49.39,61.77,6.63,72.88
Rice,Optimal Health,98.16,50.25,56.39,7.17,72.58
Cotton,Optimal Health,117.01,53.86,76.5,6.6,65.42
Maize,Potassium Toxicity,71.94,39.56,230.06,7.19,67.78
Cotton,Nitrogen Deficiency,16.45,42.34,66.53,7.01,78.98
Sugarcane,Optimal Health,114.56,46.48,66.81,6.93,82.64
Rice,Nitrogen Deficiency,29.51,51.68,50.75,6.88,82.39
Maize,pH Stress,100.84,37.93,51.5,4.21,72.71
Sugarcane,Optimal Health,114.17,45.82,79.13,6.68,77.07
Maize,pH Stress,92.06,58.18,74.5,5.35,62.01
Wheat,Optimal Health,111.24,40.46,62.01,7.38,60.58
Rice,Nitrogen Deficiency,14.3,43.71,73.54,6.25,79.33
Cotton,Potassium Toxicity,70.28,35.92,155.45,6.82,71.56
Wheat,pH Stress,77.33,43.52,50.03,4.63,66.59
Sugarcane,Nitrogen Deficiency,22.66,59.31,71.36,7.35,72.08
Maize,Phosphorus Deficiency,78.83,11.11,53.45,6.58,61.47
Sugarcane,Optimal Health,75.96,52.72,70.51,6.29,70.36
Cotton,Potassium Toxicity,100.23,46.64,203.77,7.1,74.9
Rice,Optimal Health,110.31,47.48,69.3,6.33,83.19
Rice,Optimal Health,71.02,53.15,76.3,6.4,68.42
Maize,Phosphorus Deficiency,110.02,11.95,51.15,6.4,76.26
Cotton,Phosphorus Deficiency,98.11,11.53,54.11,6.8,63.32
Wheat,Nitrogen Deficiency,28.3,44.68,52.31,6.14,68.64
Rice,Nitrogen Deficiency,19.76,38.08,56.68,6.49,74.38
Wheat,Potassium Toxicity,71.11,46.67,197.96,6.67,78.84
Sugarcane,Phosphorus Deficiency,117.79,12.38,79.73,7.42,80.33
Wheat,Optimal Health,91.47,46.12,54.83,6.7,60.94
Maize,Phosphorus Deficiency,112.8,14.74,67.71,6.72,60.12
Cotton,Phosphorus Deficiency,113.59,11.77,56.74,7.16,67.58
Rice,Potassium Toxicity,78.29,49.63,177.86,6.93,65.82
Cotton,Nitrogen Deficiency,27.03,53.65,69.7,7.3,61.62
Rice,pH Stress,85.18,36.38,68.44,4.49,63.71
Sugarcane,Phosphorus Deficiency,101.71,19.47,71.28,7.41,63.33
Rice,pH Stress,103.15,48.49,53.17,4.87,64.24
Maize,pH Stress,116.88,41.06,64.67,4.9,71.07
Rice,Nitrogen Deficiency,16.97,45.49,57.37,7.4,60.79
Rice,Optimal Health,119.53,53.32,68.63,6.12,83.13
Cotton,Optimal Health,119.48,58.14,58.36,7.37,81.84
Cotton,Phosphorus Deficiency,115.16,10.22,72.41,7.42,68.86
Rice,Optimal Health,114.8,45.02,72.84,6.37,61.77
Wheat,Optimal Health,106.42,44.6,55.65,6.42,75.32
Cotton,Nitrogen Deficiency,28.17,57.01,66.53,6.24,83.25
Maize,Potassium Toxicity,96.72,56.41,184.16,6.1,63.19
Rice,pH Stress,80.83,37.19,55.52,4.39,74.9
Cotton,pH Stress,119.85,54.61,62.72,5.19,81.82
Maize,Potassium Toxicity,85.96,51.4,187.07,7.5,80.36
Sugarcane,pH Stress,90.94,54.86,57.02,4.77,70.07
Cotton,Optimal Health,75.12,53.61,66.97,6.85,82.81
Maize,Optimal Health,97.67,51.09,58.2,7.37,76.1
Cotton,Optimal Health,81.95,56.32,76.49,6.33,79.64
Maize,Phosphorus Deficiency,85.02,18.12,64.45,6.28,62.35
Sugarcane,pH Stress,82.63,43.26,67.77,4.29,62.53
Cotton,pH Stress,87.87,43.63,58.74,5.14,83.05
Rice,pH Stress,109.25,40.55,57.91,4.93,76.37
Cotton,pH Stress,101.74,51.77,69.54,4.77,75.83
Maize,Potassium Toxicity,91.33,39.9,183.78,6.82,84.94
Wheat,Nitrogen Deficiency,12.41,47.55,70.64,6.6,69.53
Sugarcane,Phosphorus Deficiency,92.99,12.03,58.65,6.14,60.68
Cotton,Optimal Health,101.98,42.63,67.0,6.67,80.7
Sugarcane,pH Stress,86.18,58.51,60.81,5.42,65.69
Cotton,pH Stress,113.05,36.41,71.42,5.29,61.52
Sugarcane,Potassium Toxicity,101.23,41.19,172.39,6.16,69.59
Maize,Phosphorus Deficiency,119.08,10.93,79.8,7.34,67.89
Wheat,pH Stress,110.1,35.07,60.14,5.06,79.83
Cotton,pH Stress,73.25,46.95,56.9,4.66,65.53
Rice,Optimal Health,79.58,44.19,54.91,6.16,79.45
Rice,Optimal Health,119.36,46.01,55.52,6.95,63.35
Wheat,Optimal Health,73.11,35.17,67.65,6.93,83.69
Wheat,Nitrogen Deficiency,29.55,58.05,57.6,6.85,71.78
Wheat,Nitrogen Deficiency,24.8,54.5,62.21,6.56,75.77
Sugarcane,Potassium Toxicity,116.54,47.17,192.48,6.68,79.57
Rice,pH Stress,74.69,38.45,67.98,4.98,60.02
Wheat,Phosphorus Deficiency,113.17,10.8,68.18,6.86,62.87
Wheat,Phosphorus Deficiency,97.15,24.61,71.83,7.09,80.82
Sugarcane,Optimal Health,82.85,43.92,72.74,6.79,60.42
Maize,Potassium Toxicity,79.63,35.38,164.15,7.32,67.57
Wheat,pH Stress,102.31,54.1,57.09,4.9,81.77
Rice,pH Stress,117.56,45.17,55.48,4.51,60.72
Wheat,Phosphorus Deficiency,72.5,22.85,56.4,6.79,75.55
Maize,Phosphorus Deficiency,97.86,19.97,75.89,6.98,83.58
Maize,Phosphorus Deficiency,90.25,14.18,50.72,6.15,72.82
Sugarcane,Nitrogen Deficiency,29.07,45.83,60.07,7.35,63.42
Maize,Phosphorus Deficiency,79.6,12.31,73.05,7.29,83.1
Rice,Nitrogen Deficiency,11.59,52.79,74.01,6.34,78.64
Cotton,Optimal Health,82.62,45.97,77.39,6.25,64.07
Wheat,Phosphorus Deficiency,75.88,23.15,64.63,6.14,66.49
Rice,Phosphorus Deficiency,104.5,18.72,54.43,7.39,74.57
Wheat,Phosphorus Deficiency,83.2,18.32,65.93,7.33,65.71
